ROL.G;/admin/rol/get
ROL.U;/admin/rol/update
SALARY.C;/module/salary/create
SALARY.D;/module/salary/delete
SALARY.R;/module/salary/read
SALARY.U;/module/salary/update
SETTLEMENT.C;/module/settlement/create
SYNCDOCS.LD;/admin/management/lastDateSyncDocs
SYNCHRONIZE.T;/module/task/syncClassDocs
TIPOPERMISO.G;/admin/tipoPermiso/get
TOKENUPLOAD.C;/module/classify/loadTokens
TRACKMONITOR.C;/module/trackMonitor/create
TRACKMONITOR.D;/module/trackMonitor/delete
TRACKMONITOR.R;/module/trackMonitor/read
TRACKMONITOR.U;/module/trackMonitor/update
TRACKPOSTULANT.C;/module/trackPostulante/create
TRACKPOSTULANT.CF;/module/trackPostulante/confirm
TRACKPOSTULANT.D;/module/trackPostulante/delete
TRACKPOSTULANT.G;/module/trackPostulante/get
TRACKPOSTULANT.R;/module/trackPostulante/read
TRACKPOSTULANT.RLB;/module/trackPostulante/rollback
TRACKPOSTULANT.U;/module/trackPostulante/update
VACANCY.C;/module/vacancy/create
VACANCY.CL;/module/vacancy/clone
VACANCY.D;/module/vacancy/delete
VACANCY.DC;/module/vacancy/dataconf
VACANCY.G;/module/vacancy/get
VACANCY.P;/module/vacancy/setVacancyPublication
VACANCY.R;/module/vacancy/read
VACANCY.U;/module/vacancy/update
VACANCYTEXT.C;/module/vacancyText/create
VACANCYTEXT.D;/module/vacancyText/delete
VACANCYTEXT.U;/module/vacancyText/update
VACATION.C;/module/vacation/create
VACATION.D;/module/vacation/delete
VACATION.R;/module/vacation/read
VACATION.U;/module/vacation/update
VOUCHER.C;/module/voucher/create
VOUCHER.D;/module/voucher/delete
VOUCHER.R;/module/voucher/read
VOUCHER.U;/module/voucher/update
WORKEXP.C;/module/workExperience/create
WORKEXP.D;/module/workExperience/delete
WORKEXP.G;/module/workExperience/get
WORKEXP.U;/module/workExperience/update
