INSURANCE.R;/module/insurance/read;URI para obtener un registro de Seguro;1;;t;t;t;t;t
INSURANCE.U;/module/insurance/update;URI para actualizar un registro de Seguro;1;;t;t;t;t;t
LANGUAGE.C;/module/language/create;URI para crear un nuevo registro de Idioma en Persona/Posicion;1;;t;t;t;t;t
LANGUAGE.D;/module/language/delete;URI para procesar una petición de DELETE de Idioma para Persona;1;;t;t;t;t;t
LANGUAGE.U;/module/language/update;URI para procesar una petición de UPDATE de Idioma para Persona;1;;t;t;t;t;t
LOCATION.C;/module/location/create;URI para crear un registro de domicilio;1;;t;t;t;t;t
LOCATION.D;/module/location/delete;URI para eliminar un registro de domicilio;1;;t;t;t;t;t
LOCATION.G;/module/location/get;URI para obtener un registro de domicilio;1;;t;t;t;t;t
LOCATION.U;/module/location/update;URI para crear un registro de domicilio;1;;t;t;t;t;t
MODELRSC.C;/module/modeloRsc/create;URI Creación de Plantilla Tracking;1;;t;t;f;t;t
MODELRSC.D;/module/modeloRsc/delete;URI Eliminación/desactivación de Plantilla Tracking;1;;t;t;f;t;t
MODELRSC.G;/module/modeloRsc/get;URI Listado de Plantilla Tracking;1;;t;t;t;t;t
MODELRSC.R;/module/modeloRsc/read;URI Lectura de Plantilla Tracking;1;;t;t;t;t;t
MODELRSC.U;/module/modeloRsc/update;URI Actualización de Plantilla Tracking;1;;t;t;f;t;t
MODELRSCPOS.C;/module/modeloRscPos/create;URI Pruebas TRACKING Create;1;;t;t;f;t;t
MODELRSCPOS.D;/module/modeloRscPos/delete;URI Pruebas TRACKING Delete;1;;t;t;f;t;t
MODELRSCPOS.G;/module/modeloRscPos/get;URI Pruebas TRACKING GET;1;;t;t;t;t;t
MODELRSCPOS.R;/module/modeloRscPos/read;URI Pruebas TRACKING Read;1;;t;t;t;t;t
MODELRSCPOS.U;/module/modeloRscPos/update;URI Pruebas TRACKING Update;1;;t;t;t;t;t
MODELRSCPOSF.C;/module/modeloRscPosFase/create;Servicio que Inserta un registro de Modelo_Rsc_Posicion_Fase;1;;t;t;f;t;t
MODELRSCPOSF.D;/module/modeloRscPosFase/delete;Servicio que elimina un registro solo si es modelo principal;1;;t;t;f;t;t
MODELRSCPOSF.U;/module/modeloRscPosFase/update;Servicio que modifica un registro de Modelo_Rsc_Posicion_Fase;1;;t;t;f;t;t
MONITOR.C;/module/monitor/create;Se crean registros en la tabla monitor;1;;t;t;f;t;t
MONITOR.D;/module/monitor/delete;Se eliminan los registros en la tabla monitor y aquellos relacionados en la tabla tracking_monitor;1;;t;t;f;t;t
MONITOR.G;/module/monitor/get;Se obtienen los idPersona distintas con registros en la tabla monitor por posición;1;;t;t;f;t;t
MONITOR.U;/module/monitor/update;Se Actualizan registros en la tabla monitor por personas solicitadas;1;;t;t;f;t;t
NOTIFICATION.G;/module/notification/get;URI para obtener lista de Notificaciones;1;;t;t;t;t;t
PERMISSION.C;/admin/permission/create;URI creación de UriCode/Permiso;1;;t;t;f;f;f
PERMISSION.D;/admin/permission/delete;URI Eliminación de Permiso;1;;t;t;f;f;f
PERMISSION.G;/admin/permission/get;URI para procesar una petición de Get de permisos por Rol;1;;t;t;f;t;t
PERMISSION.U;/admin/permission/update;URI para procesar una petición de UPDATE de relación persona-permiso;1;;t;t;f;f;f
PERSCERT.C;/module/personCert/create;URI Crear un registro de Certificación Persona;1;;t;t;t;t;t
PERSCERT.D;/module/personCert/delete;URI Eliminar un registro de Certificación Persona;1;;t;t;t;t;t
